key,value
sections.monitor.top_memory_processes[3].name,app-server.exe
sections.monitor.top_memory_processes[3].cpu_percent,84.8
sections.monitor.top_memory_processes[3].memory_percent,3.1
sections.monitor.top_memory_processes[3].memory_rss,532676608
sections.monitor.top_memory_processes[4].pid,3684
sections.monitor.top_memory_processes[4].name,antivirus.exe
sections.monitor.top_memory_processes[4].cpu_percent,1.7
sections.monitor.top_memory_processes[4].memory_percent,2.27
sections.monitor.top_memory_processes[4].memory_rss,389939200
sections.monitor.top_memory_processes[5].pid,1180
sections.monitor.top_memory_processes[5].name,indexer.exe
sections.monitor.top_memory_processes[5].cpu_percent,4.1
sections.monitor.top_memory_processes[5].memory_percent,0.94
sections.monitor.top_memory_processes[5].memory_rss,161480704
sections.monitor.top_memory_processes[6].pid,5496
sections.monitor.top_memory_processes[6].name,python.exe
sections.monitor.top_memory_processes[6].cpu_percent,8.4
sections.monitor.top_memory_processes[6].memory_percent,0.76
sections.monitor.top_memory_processes[6].memory_rss,130547712
sections.monitor.top_memory_processes[7].pid,2044
sections.monitor.top_memory_processes[7].name,backup-agent.exe
sections.monitor.top_memory_processes[7].cpu_percent,2.4
sections.monitor.top_memory_processes[7].memory_percent,0.41
sections.monitor.top_memory_processes[7].memory_rss,70451200
sections.monitor.top_memory_processes[8].pid,1520
sections.monitor.top_memory_processes[8].name,desktop-shell.exe
sections.monitor.top_memory_processes[8].cpu_percent,2.0
sections.monitor.top_memory_processes[8].memory_percent,0.28
sections.monitor.top_memory_processes[8].memory_rss,48103424
sections.monitor.top_memory_processes[9].pid,908
sections.monitor.top_memory_processes[9].name,log-collector.exe
sections.monitor.top_memory_processes[9].cpu_percent,0.9
sections.monitor.top_memory_processes[9].memory_percent,0.19
sections.monitor.top_memory_processes[9].memory_rss,32636928
sections.monitor.alerts,[1 items]
sections.monitor.alerts[0],Memory usage 95% >= 90%
sections.monitor.memory_used_human,15.17 GiB
sections.monitor.memory_total_human,16.00 GiB
errors,[0 items]
warnings,[0 items]
